en,ko
Tom is a friend of mine. Do you know him?,톰은 내 친구야. 그 사람을 알아?
She wants to keep a cat.,그 사람은 고양이를 키우고 싶어해.
I work on Sunday.,나는 일요일에 일한다.
I'm in my room studying French.,나는 방에서 프랑스어 공부하는 중이야.
"Let's eat, drink, and be merry.",먹고 마시고 즐깁시다.
Tom grew up in the suburbs.,Tom은 교외에서 자랐다.
I assured Tom I wouldn't do that anymore.,난 톰한테 내가 다음 부턴 절대 안 그럴 거라고 단언했어.
After you.,당신 먼저에요.
Watch yourself.,조심해.
"Fish, please.",물고기요.
Colds are contagious.,감기는 전염돼.
Can you call a taxi for me?,택시 좀 불러주실 수 있나요?
Have you ever been to Tom's home?,톰 집에 가본 적 있어?
We're still eating.,우린 아직도 먹는 중이야.
I'm looking for a hat to match a brown dress.,갈색 드레스와 어울리는 모자를 찾고 있어요.
Shut up!,시끄러워!
One of my teeth hurts.,이빨 하나가 아프다.
She is dark-skinned.,그녀는 피부색이 검다.
I tried to apologize to Tom.,톰에게 사과하려고 했어.
I think Tom is lonely.,톰이 외로워하는 것 같아.
God knows what we need.,우리에게 필요한 것이 무엇인지 하나님께서는 아신다.
I was born in 2013.,난 2013년에 태어났어.
Stop whining.,그만 흐느껴.
I agreed with him on that point.,나는 그 점에서 그와 의견이 일치했다.
I speak French a lot.,난 프랑스어를 잘해.
The night was cold.,그날 밤은 추웠어.
Somebody was talking to Tom.,누군가 톰한테 말을 걸고 있었어.
I'd like to buy this.,나는 이것을 사고 싶다.
Tom is as thin as a rail.,톰은 난간만큼 날씬해.
This technique isn't easy to learn.,이 기술은 배우기 쉽지 않아.
Don't get me wrong.,오해하지 마.
Is this the dictionary you're looking for?,이게 당신이 찾던 사전입니까?
He's addicted to drugs.,그 사람은 마약 중독자야.
I really like what I do.,난 내가 하는 것이 정말 좋아.
I sent Tom a text.,난 톰한테 문자 보냈어.
Do you really think you can convince Tom to do that?,너 정말 톰이 그걸 하도록 설득할 수 있다고 생각해?
Tom is still single.,톰은 아직도 솔로야.
Tom sighed.,톰은 한숨 쉬었어.
Have you ever been drunk?,취해본 적 있어?
"Tom is still not very good at swimming, is he?",톰은 여전히 수영을 잘 못하지?
Choose carefully.,신중하게 골라.
She has done her homework.,그녀는 숙제를 다 했다.
He's always looking at you. He must love you.,그는 항상 널 지켜봤어. 널 좋아하는 게 분명해.
I didn't know Tom was a drug addict.,난 톰이 마약 중독자라는 걸 몰랐어.
Should I learn French?,프랑스어를 배워야 할까요?
She forced him to sit down.,그녀는 강제로 그를 앉혔다.
Let's hear the rest of the story.,이야기를 마저 들어 봅시다.
"Will Tom come with his wife, or alone?","톰이 자기 아내랑 올까, 아니면 혼자 올까?"
I can assure you that's not going to happen.,"단언컨대, 그런 일은 일어나지 않을 거야."
I never should've gotten divorced.,난 절대 이혼하지 말았어야 했는데.
"Two beers, please.",맥주 두 잔 주세요.
This is just my personal opinion.,이건 그냥 내 의견이다.
I don't write letters anymore.,난 이제 편지 안 써.
Wait!,잠깐!
I recommend that you learn French.,프랑스어를 배우는 걸 추천해.
The flight will be delayed because of a sandstorm.,모래바람으로 인하여 비행편이 연기되겠습니다.
Depression is common among young adults who have Asperger syndrome.,우울증은 아스퍼거 증후군을 가진 청년들에게 있어 흔한 질병이야.
It's good.,괜찮네요.
Tom often lets me use his car.,톰은 가끔 내가 톰의 차를 쓰도록 해줘.
I often play tennis with Tom.,나는 톰과 테니스를 자주 한다.
I'm just watching television.,난 그냥 티비 보고 있어.
How much did these sunglasses cost?,이 선글라스 얼마였어?
When was the last time you saw that cat?,저 고양이를 마지막으로 봤을 때가 언제야?
Stay calm.,침착해.
Have you ever really been in love?,정말 한번이라도 사랑에 빠진 적 있어?
Where's Tom's file?,톰의 파일이 어디 있지?
Tom said he wanted to hire someone with experience.,톰은 경험이 있는 사람을 고용하고 싶다고 말했다.
This bread looks delicious.,이 빵 맛있어 보이네.
Tom wanted to learn how to tango.,톰은 탱고 추는 방법을 배우고 싶었다.
Painting our house took much longer than we expected.,우리 집을 칠하는데 생각보다 시간이 오래 걸렸다.
Tom is a timid kid.,톰은 소심한 애야.
Fantastic!,끝내주네!
Ignore Tom.,톰은 무시해.
Help me.,도와줘.
Tom is learning how to drive.,톰은 운전하는 법을 배우고 있어.
I thought you hated me.,네가 날 싫어한다고 생각했어.
Tom and Mary are in the same boat.,톰과 마리는 같은 배를 탔다.
Show me.,보여줘.
He did not want her to leave.,그는 그녀가 떠나길 원치 않았다.
Have you ever been on a helicopter?,헬리콥터 타본 적 있어?
Tom is in his room most of the time.,톰은 거의 늘 자기방에만 있어.
It looks like it'll rain.,비가 올 것 같아.
I hear that there are people in Japan that keep penguins as pets.,일본에는 펭귄을 키우는 사람이 있대.
He loves trains.,그는 열차를 좋아한다.
I'm trying to act casual.,자연스럽게 행동하려고 노력하고 있어.
I want to get out here as soon as I can.,될 수 있는 한 여기서 빠져나가고 싶어.
"Champagne, please.",샴폐인 좀.
One plus one equals two.,1 더하기 1은 2야.
Do you know who I am?,제가 누군지 아시나요?
Stop overreacting.,과민반응 그만해.
He asked us to help him.,그는 우리에게 도움을 청했다.
No other lake in Japan is as large as Lake Biwa.,비와라는 호수만큼 큰 호수은 일본에 없어.
Tom was very disrespectful.,톰은 매우 무례했다.
"You know that that's not possible, don't you?",그게 불가능하단 건 알고 있지?
We were born to die.,우리는 죽기 위해 태어났어.
Will you lend me your knife?,네 나이프좀 빌려줄래?
He seldom goes to church.,그는 교회에 거의 가지 않는다.
"I want kids, but Tom doesn't.",나는 톰이랑은 달리 아이를 갖고 싶어.
An accident has occurred.,사고가 벌어졌다.
We all thought that Tom had escaped.,우리는 다 톰이 탈출한 줄 알았다.
Have you tested it yet?,한번 시도해봤어?
Tom is bedridden now.,톰은 지금 침대 신세야.
He loves going to the theater.,그는 영화관에 가는 것을 좋아한다.
I wish I'd married another man.,다른 남자와 결혼했다면 좋았을 텐데.
Do you have any fresh pasta?,신선한 파스타 있어요?
Hold this.,저걸 잡고 있어.
Have you ever donated blood?,헌혈해 본 적이 있니?
You can't give up on Tom.,너는 톰을 포기할 수 없다.
That was no ordinary storm.,평범한 폭풍이 아니었다.
Tom is not an idle boy any longer.,톰은 이제는 게으른 소년이 아니다.
He made his will last year.,그는 작년에 유언장을 썼습니다.
Tom's attitude has changed.,톰의 태도가 변했어.
I wish I were somewhere else.,내가 다른 곳에 있다면 좋을 텐데.
My father is home.,우리 아버지는 집에 계신다.
"You haven't told Tom you're married, have you?","너 결혼한거 톰한테 말 안했구나, 그치?"
He can speak and write French.,그는 불어로 말하고 쓸 수 있다.
I need caffeine.,카페인이 필요하다.
Is there a woman in your life?,네 인생에 여자가 있어?
I want to know how I can lose weight.,나는 살빼는 방법을 알고 싶다.
The moon has set.,달이 졌다.
Relax.,진정해.
Tom is a Muslim.,톰은 무슬림이다.
Tom clasped his hands behind his head.,톰은 머리 뒤로 손을 꽉 잡았어.
Sorry for being late.,늦어서 죄송합니다.
How horrible!,이렇게나 끔찍하다니!
Ask anyone.,누군가에게 물어봐.
The leaves are yellow.,잎들이 노랗다.
Do you think Croatian is an interesting language?,크로아티아어가 흥미로운 언어라고 생각하세요?
We succeeded.,우린 성공했어.
Don't believe everything people tell you.,사람들이 말하는 전부를 믿지는 마.
Tom knows I hate spinach.,톰은 내가 시금치를 싫어한다는 것을 알고 있다.
Tom is wearing a yellow shirt.,톰은 노란 셔츠를 입고 있어.
I'm happiest when I'm singing.,난 노래 부르고 있을 때가 가장 행복해.
Will you join me for breakfast?,나랑 같이 아침 먹을래?
It'll be ready by six this evening.,오늘 저녁 6시까지 준비될 것이다.
Tom is the best drummer in Boston.,톰은 보스턴에서 제일 실력있는 드러머다.
Can I touch it?,만져봐도 돼?
He is a rude person.,그는 무례한 사람이다.
Did you see the eclipse yesterday?,어제 일식 봤어?
I think Tom would be thrilled.,내 생각에 톰은 아주 신나할 것 같아.
This is my school.,이곳은 내 학교다.
How many eggs did you buy?,계란 얼마나 샀어?
That's not it.,아니야!
I can go tomorrow.,난 내일 갈 수 있어.
They said no.,그들은 아니라고 했다.
"Under a microscope, some viruses appear quite beautiful.",현미경 아래에선 몇몇 바이러스는 꽤 아름다워 보여.
He was at the bottom of the class.,걔는 반에서 꼴찌였어.
I regret that I did not work harder.,난 더 열심히 안 한 걸 후회하고 있어.
Which newspaper do you read?,너는 무슨 신문 읽어?
Tom is breathing deeply.,톰은 깊게 숨을 쉬었다.
Tom told me he hasn't seen Mary in months.,톰은 몇 달 동안 메리를 보지 못했다고 나에게 말했다.
Wait.,기다려.
Please sit.,제발 앉아.
Let's sing and dance.,노래부르고 춤추자.
Is it true?,그게 사실이야?
I'd like to check out.,체크아웃하고 싶습니다.
Our car is three years older than yours.,우리 차는 너희 차보다 3년 더 오래됐다.
You can't force yourself to forget something.,기억을 억지로 잊게 할 수는 없어.
Tom overslept.,톰은 늦잠잤어.
You should try this. It's delicious.,너 이거 한번 맛봐야해. 이거 맛있거든.
Tom sent us Christmas presents.,톰이 우리한테 크리스마스 선물을 보냈어.
I'm a careful man.,난 조심성이 있는 사람이다.
I have to say I envy you.,네가 부럽다고 말해야할 것 같아.
These scissors don't cut well.,이 가 위 잘 안들어.
How many children were injured?,아이들은 몇 명 다쳤어?
I can't answer your question.,나는 네 질문에 답할 수 없어.
I hope that we don't have to wait for too long.,많이 안 기다려도 되면 좋겠다
Tom is a great French teacher.,톰은 훌륭한 프랑스어 선생님이야.
I can teach French to Tom.,난 톰한테 프랑스어를 가르칠 수 있어.
Tom has quite a lot of money.,톰은 돈을 꽤 많이 갖고 있어.
Everybody is equal before the law.,법 이전에 모두는 평등해.
I haven't finished this yet.,이거 아직도 못 끝냈어.
Are you sure you want to go to Boston with Tom?,정말로 톰과 함께 보스턴에 가고 싶어?
I know your mother.,나는 네 엄마를 안다.
I thought that I heard gunshots.,내가 총소리를 들었다고 생각했어.
I think what Tom is doing is amazing.,나는 탐이 하고 있는 일이놀랍다고 생각한다.
We overslept.,우린 늦잠잤어.
Many people act like that.,많은 사람들이 저런 식으로 행동해.
Help!,도와줘!
Tom has more money than I do.,톰은 나보다 돈이 많아.
I may die tomorrow.,나는 내일 죽을지도 모른다.
It was raining outside.,밖에 비가 내리고 있었다.
I wasn't even here.,난 심지어 여기 없었어.
I wish I could remember everything Tom told me.,난 톰이 나한테 말한 모든 것을 기억했으면 좋겠어.
Then what?,그래서?
What's this smell?,이거 무슨 냄새지?
The baby was crying in bed.,아기가 침대에서 울고 있었어.
Tom blushed.,톰의 얼굴이 빨개졌어.
The answer's yes.,대답은 그렇다이다.
Got it!,알겠어!
Tom looks old for his age.,톰은 나이에 비해 늙어 보여.
Let's sing and dance.,노래를 부르고 춤을 춥시다.
I really love French.,난 프랑스를 정말 좋아해.
I know Tom is a very generous man.,나는 톰이 매우 관대한 사람이라는 것을 안다.
Thanks for taking care of Tom.,톰을 돌봐줘서 고마워요.
I should've bought more food.,내가 먹을 것을 더 샀어야 했는데.
I don't want to die here.,여기서 죽기 싫어.
It may take over an hour.,한 시간 넘게 걸릴 것 같아.
I don't know anybody in Boston.,나는 보스턴에 아는 사람이 없다.
Tom doesn't usually sing in French.,톰은 보통 프랑스어로 노래하진 않아.
I will go on ahead.,나는 앞으로 나아갈 것이다.
Would you be happier with Tom?,톰과 함께라면 더 행복해질 것 같니?
Am I alone here?,여기 나 혼자에요?
What're you doing?,뭐하는 거야?
What does this mean?,이게 무슨 뜻이에요?
We can take the subway there.,우린 저기에 있는 지하철 탈 수 있어.
Get some rest.,좀 쉬어.
I sincerely regret having caused you such an inconvenience.,폐를 끼쳐서 진심으로 죄송합니다.
They live on the 12th floor of this condo.,그들은 이 맨션 12층에 산다.
How much money did you lose today?,오늘은 얼마나 잃었어?
I really wanted to help.,난 정말로 돕고 싶었어.
I didn't know you loved Tom so much.,네가 톰을 그렇게 사랑할 줄은 몰랐어.
Selling cars is my job.,제가 하는 일은 차를 파는 겁니다.
How curious!,정말 흥미로운데!
She has a dog and six cats.,그녀는 개 한마리와 고양이 여섯 마리를 키운다.
Nobody remembered my birthday.,아무도 내 생일을 기억해주지 않았어.
I'm not tired.,힘들지 않다.
Tom doesn't believe in evolution.,톰은 진화론을 믿지 않아.
He's studying French and web design.,그는 프랑스어와 웹디자인을 공부하고 있다.
Could you give me an example?,예를 들어 주시겠습니까?
Ignore that.,그건 무시해.
Your plan failed.,네 계획은 실패했어.
Tom is a very talkative person.,톰은 아주 수다쟁이야.
Did you stop at the red light?,빨간불에 멈췄어?
"It's beautiful weather, isn't it?",날씨 좋지 않아?
This is so relaxing.,이거 정말 기분 좋다.
That's all we wanted.,그게 우리가 원했던 것의 전부야.
Tom said he's weak.,톰은 자신이 약하다고 말했다.
What was the matter this morning?,아침에 무슨 일이 있었니?
Antibiotics can't kill viruses.,항생제는 바이러스를 죽일 수 없어.
You're mine.,당신은 나의 것입니다.
Where did you learn to write?,어디서 쓰는 법을 배웠어?
Tom dressed up as cowboy for Halloween.,톰은 핼러윈을 맞아 카우보이처럼 옷을 입었다.
I was forced to go.,나는 부득이하게 갔다.
I have time to do that this week.,나는 이번주에 저걸 할 시간이 있어.
I wonder whether Tom really likes Boston.,톰이 진짜 보스턴을 좋아하는지 궁금하네.
Tom said he was very lonely.,톰이 무척 외로웠다고 말했어.
I think this is ridiculous.,한심한 것 같아.
Tom is as thin as a rail.,톰은 철로만큼 날씬해.
Promise me you won't do anything stupid.,바보같은 짓은 하지 않겠다고 나한테 약속해.
I know that I might not have to do that today.,그것을 오늘 안해도 될것같다는 걸 알아
"You, too, can learn French.",너도 마찬가지로 프랑스어를 배울 수 있어.
Tom and Mary broke up last week.,톰과 메리는 지난주에 헤어졌다.
This sounds reasonable.,합리적으로 들리네.
That's not what Tom wants to do.,이건 톰이 하려고 한 것이 아니야.
That's my favorite French word.,이게 바로 내가 가장 좋아하는 프랑스 단어야.
Don't try to talk. Save your energy.,말하려 하지마. 차라리 에너지를 아껴.
Please let us know.,저희에게 알려주세요.
I don't want to waste time on this problem.,이런 일에 시간을 낭비하고 싶지 않다.
I spent two hours reading a book last night.,나는 어젯밤에 책을 읽느라 두 시간을 보냈어.
I love music.,나는 음악을 사랑한다.
Tom wants to stay home tonight.,톰은 오늘 밤 집에 머물고 싶어한다.
I'm still optimistic about the project.,난 그 프로젝트에 대해 아직 긍정적이야.
Tom knits.,톰이 뜨개질 하고 있어.
Boil some water.,물 좀 끓여.
Tom is a great manager.,톰은 훌륭한 매니저야.
This is not true.,이것은 사실이 아니다.
How's work?,일은 잘 되니?
I will never forgive you.,난 널 절대로 용서하지 않을 거야.
I saw him crossing the road.,그가 거리를 건너는 것을 보았다.
My watch is different than yours.,내 시계는 당신의 것과 다르다.
Tom says he's almost ready to leave.,톰은 떠날 준비가 거의 다 됐대.
I'm aware this is Monday.,지금 월요일이라는 것을 자각하고 있어.
Common causes of stress are work and human relationships.,스트레스의 일반적 원인은 업무와 인간 관계에 있어.
That's my dog.,이건 내 강아지야.
Text me.,문자해 줘.
Are you involved?,너도 포함이야?
That made me nervous.,저게 불안하게 만드네.
Don't lie to us.,우리에게 거짓말 하지 마.
I don't believe Tom is a murderer.,난 톰이 살인자라고 믿지 않아.
Tom apologized.,톰이 사과했어.
Don't wake him up.,그를 깨우지 마.
Do you like fish?,물고기 좋아해?
Let me pay.,내가 낼게.
I think that Tom is great.,나는 톰이 뛰어나다고 생각한다.
How much time will it take to do this?,이걸 하려면 시간이 얼마나 걸려?
No one was at home.,집에 아무도 없었다.
Everyone stood.,모두 일어섰어.
Someone has died.,누군가 죽었어.
What are you two arguing about?,너희 둘 무엇에 관하여 논쟁하고 있니?
I forgot that Tom spoke French.,나는 톰이 프랑스어를 한다는 것을 잊고 있었다.
Who's your favorite tennis player?,어떤 테니스 선수가 가장 좋아?
I like beer.,나는 맥주가 좋아.
Wait here.,여기서 기다려.
I'm thinking about going back into teaching.,교직에 돌아갈 생각을 하고 있다.
Tom was a troubled child.,톰은 문제아였어.
I arrived last night.,나는 지난 밤에 도착했다.
He took a short cut.,그는 지름길로 갔다.
There's a storm coming.,폭풍이 다가온다.
Tom moaned.,톰이 끙끙댔어.
Tom is having a hard time focusing.,톰은 집중하려고 애쓰고 있어.
We went to Boston.,우리는 보스턴에 갔다.
I'm a human being.,나는 인간이야.
It snowed a lot last year.,작년에 눈이 엄청 내렸어.
Lawyers are all liars.,변호사들은 모두 거짓말쟁이다.
We used the computer in order to save time.,우린 시간을 아끼기 위해서 컴퓨터를 썼어.
Look! There's a cat in the kitchen.,봐봐! 고양이가 부엌에 있어.
"It's one thing to make plans, but quite another to carry them out.",계획을 세우는 것과 그것을 실행하는 것은 별개의 문제다.
A dog was following Tom.,개 한 마리가 톰을 따라가고 있었어.
Certain religions are against organ donation.,어떤 종교는 장기 기증을 금지하기도 해.
I'm not young anymore.,나는 더 이상 젊지 않다.
I'll come back later.,나중에 다시 돌아오겠습니다.
This game is a lot of fun.,이 게임은 정말로 재미있다.
There's nothing worse than loneliness.,외로움보다 더 끔찍한 것은 없어.
Mary and I are engaged.,나와 메리는 약혼했어.
"Yes, I kissed him.",네. 그 남자와 키스했어요.
I'd accept.,받아들일게요.
I didn't think that we had any chance of winning.,나는 우리가 이길 가능성이 전혀 없다고 생각했어.
"All of a sudden, she began to laugh.","그때 갑자기, 그녀가 웃기 시작했다."
I don't feel anything at all.,아무런 느낌도 안 나.
"Sputnik was launched on October 4, 1957.",스푸트니크는 1957년 10월 4일에 발사되었다.
Almost everyone arrived on time.,거의 다 제 시간에 도착했다.
There are children here.,여기에 아이들이 있어.
We agree.,우리는 동의해.
Tom prevented Mary from doing that.,톰은 메리가 그걸 못 하도록 막았어.
My French would likely be much better today if I'd studied with a native speaker.,내가 원어민이랑 공부한다면 내 프랑스어 실력은 훨씬 더 나을 텐데.
He laughed.,그는 웃었다.
Tom is too weak to walk that far.,톰은 그렇게 멀리까지 걸어가기엔 너무 약하다.
We need your advice.,우리는 당신의 조언이 필요하다.
"Tom is a good friend of yours, isn't he?","톰은 좋은 친구죠, 아닌가요?"
How tragic!,이렇게나 슬프다니!
Some children don't like vegetables.,일부 애들은 야채를 안좋아해.
Have you ever been to this beach before?,이 해변에 와본 적 있어?
Tom turned off his computer.,톰은 자기 컴퓨터를 껐어.
Where does that bus go?,저 버스는 어디로 가나요?
Nothing happened.,아무일도 없었어.
I have attempted suicide two times.,나는 두 번 자살 시도를 했어.
They're watching you.,그들은 당신을 지켜보고 있다.
"I don't have money, but I have dreams.",내가 돈은 없어도 꿈은 있어.
Tom has braided his beard.,톰은 그의 턱수염을 땋았다.
Tom will have a hard time.,톰은 힘든 시간을 보내게 될 거야.
Something is happening.,뭔가가 일어나는 중이야.
A person who steals deserves punishment.,절도를 한 사람은 벌을 받아 마땅하다.
That's nonsense.,말도 안 된다.
Do you want to help?,도움이 필요하십니까?
I think we should do something stupid.,우리 좀 바보짓을 해야할 것 같아.
Tom wakes up at six-thirty every morning.,톰은 아침마다 여섯 시 삼십 분에 일어나.
You'll regret it.,너 후회할거야.
Tom kept looking at Mary.,톰은 메리를 계속해서 지켜보았다.
They're green.,그들은 초록색이다.
May God bless you.,신께서 당신을 축복하시길.
Tom is an electrical engineer.,톰은 전기기사다.
Tom is living alone in a hut.,톰은 오두막에서 혼자 살고 있어.
"I'm sorry, but I don't understand.","죄송하지만, 무슨 말인지 모르겠어요."
"In 1950, North Korea invaded South Korea.","1950년에, 북한은 남한을 침공했다."
Muscles are made of hundreds of thin fibers.,근육은 수백 개의 얇은 섬유로 만들어져 있어.
I used to dream about becoming a model.,나는 모델을 꿈꾸곤 했다.
I'll see you at the restaurant.,레스토랑에서 보자.
I read a book in French.,난 프랑스어로 된 책을 읽었어.
Nobody died.,아무도 죽지 않았어.
Grab a spoon.,숟가락 집어.
Greece has many islands.,그리스에는 섬이 많다.
Where's my apple juice?,내 사과 주스 어디 있어?
"Excuse me, where is the exit?",실례합니다. 출구가 어디인가요?
You called?,불렀어?
His sudden appearance surprised us all.,걔가 갑자기 와서 우리는 다 놀랐어
"Unfortunately, nobody told us.",애석하게도 우리한테 그걸 말해준 사람이 없었어.
He runs very fast.,그는 매우 빨리 뛴다.
I'm nervous.,떨려요.
I don't like being cheated.,나는 속는 것이 싫다.
I took this picture a week ago.,이 사진 일주일 전에 찍었어.
I misunderstood.,난 오해했어.
I haven't been honest with you.,지금까지 너에게 솔직하지 못했어.
Why should I learn French?,나는 왜 프랑스어를 배워야 하는가?
Where is the screwdriver?,드라이버 어디 있어?
They all were wrong.,그 사람들 모두 틀렸어.
She has small feet.,그녀는 발이 작다.
Tom cut his own hair.,톰이 머리를 잘랐다.
Do you remember my name?,제 이름 기억하십니까?
Let's go!,가자!
Grab Tom.,톰을 잡아.
I don't want to be alone again.,난 다시 혼자가 되고 싶지 않아.
I'd advise doing that.,그것을 하시기를 권고합니다.
It's lunch time.,점심 먹을 시간이다.
Look at the clock.,시계를 보세요.
Everybody lies.,누구나 거짓말 해.
Thanks.,고마워.
Tom graduated.,톰이 졸업했어.
I wish I were younger.,내가 더 젊었으면 좋겠어.
Tom left Mary.,톰은 메리의 곁을 떠났다.
"Tom, Mary, John and Alice can all swim.","톰, 메리, 존, 앨리스는 모두 수영을 할 수 있어."
Fire burns.,불타네.
Tom died.,톰이 죽었어.
Tom is optimistic.,톰은 낙천적이다.
I'm taking a French class.,나는 프랑스어 수업을 듣고 있어.
It's about time you went to bed.,대략 네가 침대에 갔었던 시간이야.
Gas prices are up.,기름값이 올랐다.
Keep singing.,계속 노래해.
Start over.,다시 해.
Tom could've been seriously injured.,톰은 심각한 부상을 당할 수도 있었다.
How many years did you live in Boston?,보스턴에서 몇 년 동안 살았어?
Where's Tom hiding?,톰은 어디에 숨어 있어?
I thought I heard gunshots.,내가 총소리를 들었다고 생각했어.
Tom thinks that I'm romantic.,톰은 내가 로맨틱하다고 생각해.
I remember seeing you before.,전에 만났던 것 기억해요.
He kept me waiting.,그는 나를 기다리게 했다.
They made fun of Mary.,그들이 메리를 즐겁게 했다.
I'm sorry I left without you.,너 빼고 가버려서 미안해.
